DATE,TIME (UTC),Aircraft ID,No. A/C,TYPE A/C,ALT,MAJOR CITY,COLOR,Injury Reported,CITY,STATE
5-Jan-12,0000,HAWK305,1,F18,1000,NTU,Green,NO,Virginia Beach,Virginia
5-Jan-12,0143,SWA664,1,B737,12000,eca,Green,NO,Linden,California
5-Jan-12,0203,AMF1843,1,BE99,9000,SLC,Green,NO,Salt Lake City ,Utah
5-Jan-12,0215,JAZZ73,1,UNKN,3000,CMH,Green,NO,Columbus,Ohio
5-Jan-12,0226,GLA23F,1,B190,12000,DEN,Blue,NO,Denver,Colorado
5-Jan-12,0231,BXR1949,1,C402,5500,MYV,Green,NO,Maryville,California
5-Jan-12,0251,EGF3574,1,E145,15000,PBI,Green,NO,West Palm Beach,Florida
5-Jan-12,0330,N4318Y,1,PA28,2500,SBP,Green,NO,San Luis Obispo,California
5-Jan-12,0340,N95CH,1,B206,2200,BHM,Green,NO,Birmingham,Alabama
5-Jan-12,0345,SWA664,1,B733,12000,ECA,Green,NO,Stockton,California
5-Jan-12,0355,Slim24,1,C172,21000,HII,Green,NO,Lake Havasu,Arizona
5-Jan-12,0727,AAL161,1,B752,4000,OGG,Green,NO,Kahului,Hawaii
5-Jan-12,1825,WRG1697,1,B206,2000,ECB,Green,NO,Newcombe,Kentucky
5-Jan-12,2314,ASQ4286,1,E145,7000,CLE,Green,NO,Cleveland,Ohio
5-Jan-12,2318,EGF3592,1,E145,6000,CLE,Green,NO,Cleveland,Ohio
5-Jan-12,2322,KY10,1,A109,2500,M20,Green,NO,Leitchfield,Kentucky
6-Jan-12,0031,ASQ4203,1,E145,11500,TEB,Green,NO,Teterboro,New Jersey
6-Jan-12,0035,DAL1232,1,MD88,2500,STL,Green,NO,St. Louis, Missouri
6-Jan-12,0040,N117TV,1,B06,2000,GYY,Green,NO,Gary,Indiana
6-Jan-12,0236,N62405,1,C172,2000,CRG,Green,NO,Jacksonville,Florida
6-Jan-12,0237,ASQ4673,1,E145,4000,IAH,Green,NO,Houston,Texas
6-Jan-12,0315,UAL319,1,A319,45,BWI,Purple,NO,Baltimore,Maryland
6-Jan-12,0321,ASQ6053,1,E145,UNKN,ACQ,Green,NO,Brooke,Virginia
6-Jan-12,0328,N9899G,1,C172,4500,TUL,Green,NO,Tulsa,Oklahoma
6-Jan-12,0521,FDX1818,1,B752,7000,RNO,Green,NO,Reno,Nevada
6-Jan-12,0640,AAL2493,1,B737,3200,LAX,Green,NO,Los Angeles,California
6-Jan-12,0900,AIR1,1,UNKN,2000,ONT,green,NO,Ontario,California
6-Jan-12,2300,AWE1768,1,A319,1500,DCA,Green,*NO,Washington,District of Columbia
6-Jan-12,2300,CHOPPER5,1,AS350,1300,LGA,Green,NO,New York,New York
6-Jan-12,2343,SNOOPY2,1,UNKN,1300,CLT,Green,NO,Charlotte,North Carolina
7-Jan-12,0031,ASQ4205,1,E145,11500,TEB,Green,NO,Teterboro,New Jersey
7-Jan-12,0115,LOF3341,1,E145,UNKN,IAD,Green,NO,Washington,District of Columbia
7-Jan-12,0208,TRS763,1,B712,9000,ATL,Green,NO,Atlanta,Georgia
7-Jan-12,0233,AAL516,1,B738,11000,BYP,Green,NO,Bonham,Texas
7-Jan-12,0256,NKS195,1,A319,2900,MCO,Green,NO,Orlando,Florida
7-Jan-12,0345,LN939TW,1,C560,4500,PIE,Green,NO,St. Petersburg-Clearwater,Florida
7-Jan-12,0345,SWA2170,1,B737,9000,PIE,Green,NO,St. Petersburg-Clearwater,Florida
7-Jan-12,0348,FFT850,1,A319,8000,PHX,Green,NO,Phoenix,Arizona
7-Jan-12,0440,LIFEFLT2,1,AS55,8000,RNO,Green,NO,Reno,Nevada
7-Jan-12,0442,SWA3909,1,B737,8000,RNO,Green,NO,Reno,Nevada
7-Jan-12,0522,DUSTY36,1,V22,6500,ABQ,Green,NO,Albuquerque,New Mexico
7-Jan-12,0553,FDX948,1,MD11,5000,HNL,Green,NO,Honolulu,Hawaii
7-Jan-12,2333,AAL820,1,B738,6000,RDU,Green,NO,Raleigh-Durham,North Carolina
8-Jan-12,0106,LOF3341,1,E145,10000,EZF,Green,NO,Fredericksburg,Virginia
8-Jan-12,0115,EGF3551,1,E145,1500,MIA,Green,NO,Miami,Florida
8-Jan-12,0115,N126PC,1,PA32,4000,TUL,Green,NO,Tulsa,Oklahoma
8-Jan-12,0115,TRS15,1,B737,2000,MCO,Green,NO,Orlando,Florida
8-Jan-12,0141,SQH101,1,PC12,6000,DAL,Green,NO,Dallas,Texas
8-Jan-12,0200,EGF4098,1,E135,7200,ORD,Green,NO,Chicago,Illinois
8-Jan-12,0303,SWA181,1,B737,FL180,PYE,Green,NO,Point Reyes,California
8-Jan-12,0320,AWI3848,1,CRJ2,4000,PHL,Green,NO,Philadelphia,Pennsylvania
8-Jan-12,0440,LIFEFLT2,1,AS55,1200,PDT,Green,NO,Portland,Oregon
8-Jan-12,0441,N4PH,1,UNKN,3500,MAE,Green,NO,Madera,California
8-Jan-12,0503,N22WF,1,PA31,8000,RNO,Green,NO,Reno,Nevada
8-Jan-12,0645,ASA574,1,B737,1300,SAN,Green,NO,San Diego,California
8-Jan-12,2326,ASQ4231,1,E145,4000,CLE,Green,NO,Cleveland,Ohio
8-Jan-12,2332,EGF3592,1,E145,5000,CLE,Green,NO,Cleveland,Ohio
9-Jan-12,0152,AIRTRAN763,1,B712,9000,ATL,Green,NO,Atlanta,Georgia
9-Jan-12,0225,ASQ5956,1,E145,FL340,CKV,Green,NO,Clarksville,Tennessee
9-Jan-12,0240,SWA304,1,B733,9000,6CL3,Green,NO,Fillmore,California
9-Jan-12,0411,ASQ5456,1,CRJ7,5000,MSV,Green,NO,Montcello,New York
9-Jan-12,0414,ASTRA3,1,UNKN,1000,CRQ,Green,NO,Carlsbad,California
9-Jan-12,0417,EGF3744,1,CRJ1,4000,ORD,Green,NO,Chicago,Illinois
9-Jan-12,0419,EGF3773,1,CRJ7,7000,ORD,Green,NO,Chicago,Illinois
9-Jan-12,0455,TRS131,1,B712,6000,CLW,Green,NO,Clearwater,Florida
9-Jan-12,0720,SKW829E,1,CRJ7,2500,BFL,Green,NO,Bakersfield,California
9-Jan-12,0737,DAL1603,1,B752,6500,LAS,Green,NO,Las Vegas,Nevada
9-Jan-12,0739,HAL31,1,B763,5000,OGG,Green,NO,Kahului,Hawaii
10-Jan-12,0415,VVAD2,1,UNKN,1000,NTU,Green,NO,Virginia Beach,Virginia
10-Jan-12,0432,DAL793,1,MD83,3000,SYR,Green,NO,Syracuse,New York
10-Jan-12,0436,EGF3479,1,E145,12000,FLL,Green,NO,Fort Lauderdale,Florida
10-Jan-12,0526,C6605,1,UH60,500,MSY,Green,NO,New Orleans,Louisiana
10-Jan-12,0713,SWA1709,1,B737,15500,LGB,Green,NO,Long Beach,California
10-Jan-12,2230,JBU485,1,A320,1500,LAX,Green,NO,Los Angeles,California
11-Jan-12,0003,AAL215,1,B763,6000,OPF,Green,NO,Miami,Florida
11-Jan-12,0015,R26596,1,UNKN,400,GTB,Green,NO,Ft. Drum,New York
11-Jan-12,0016,AWE1292,1,B734,10500,BKV,Green,NO,Brooksville,Florida
11-Jan-12,0909,FLX421,1,C210,2000,FLL,Green,NO,Fort Lauderdale,Florida
11-Jan-12,0911,PD1,1,B06,1500,SNA,Green,NO,Santa Ana,California
11-Jan-12,2205,N441QF,1,C172,1100,FRG,Green,NO,Farmingdale,New York
11-Jan-12,2320,N64UC,1,CL60,1900,OPF,Green,NO,Miami,Florida
11-Jan-12,2342,REX401,1,PA34,4000,MCN,Green,NO,Macon,Georgia
12-Jan-12,0204,DAL1528,1,B752,3000,MSP,Green,NO,Minneapolis,Minnesota
12-Jan-12,0330,SWA3254,1,B737,13000,RNO,Green,NO,Reno,Nevada
12-Jan-12,0415,VVAD2,1,UNKN,1000,NTU,Green,NO,Virginia Beach,Virginia
12-Jan-12,0449,N8034Z,1,PA32,4500,VNY,Green,NO,Van Nuys,California
12-Jan-12,0451,EPIC56,1,C130,10000,FLO,Green,NO,Florence,South Carolina
12-Jan-12,0529,AMF4192,1,BE99,4000,FWS,Green,NO,Fort Worth,Texas
12-Jan-12,0532,N747PE,1,C560,5000,HIO,Green,NO,Hillsboro,Oregon
12-Jan-12,0808,SWA2270,1,B737,9000,LIN,Green,NO,Linden,California
13-Jan-12,0026,UAL1722,1,B738,6000,IAH,Green,NO,Houston,Texas
13-Jan-12,0205,SKW4744,1,CRJ9,6500,SLC,Green,NO,Salt Lake City,Utah
13-Jan-12,0217,LXJ256,1,LJ60,8000,FCM,Green,NO,Minneapolis,Minnesota
